,Song-Name,Artist,Language,Album,Composer,Release Date,Path 
0,Paatashaala - MyMp3Bhojpuri.In,Vijay Prakash | MyMp3Bhojpuri.In,Kannada,Yuvarathnaa (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,/home/dileep/ML_Project/recommendation_system/songs/Paatashaala.mp3
1,Mungaru Maleye - PagalWorld.NL,Sonu Nigam,Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Mungaru Maleye.mp3
2,Oorigobba Raaja - MyMp3Bhojpuri.In,"Puneeth Rajkumar, Ramya Behara | MyMp3Bhojpuri.In",Kannada,Yuvarathnaa (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,/home/dileep/ML_Project/recommendation_system/songs/Oorigobba Raaja.mp3
3,Ee Prema - PagalWorld.NL,"Ramya Bhat Abhyankar, Nakul Abhyankar",Kannada,Love Mocktail 2 (2021) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Ee Prema.mp3
4,Ivanu Geleyanalla - PagalWorld.NL,Shreya Ghoshal,Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Ivanu Geleyanalla.mp3
5,Neenaade Naa - MyMp3Bhojpuri.In,"Armaan Malik, Shreya Ghoshal | MyMp3Bhojpuri.In",Kannada,Yuvarathnaa (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,/home/dileep/ML_Project/recommendation_system/songs/Neenaade Naa.mp3
6,Kesariya Rangu - PagalWorld.NL,"Sanjith Hegde, Sid Sriram",Kannada,Brahmastra (2022) Kannada | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Kesariya Rangu.mp3
7,Onde Ondu Saari - PagalWorld.NL,"Kunal Ganjawala, Priya Hemesh",Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Onde Ondu Saari.mp3
8,Kannau Hodiyaka - MyMp3Bhojpuri.In,Shreya Ghoshal | MyMp3Bhojpuri.In,Kannada,Robert (2021) | MyMp3Bhojpuri.In,MyMp3Bhojpuri.In,,/home/dileep/ML_Project/recommendation_system/songs/Kannau Hodiyaka.mp3
9,Torture Song - 777 Charlie - PagalWorld.NL,Vijay Prakash,Kannada,777 Charlie (2022) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Torture Song - 777 Charlie.mp3
10,Kunnidu Kunnidu Baare - PagalWorld.NL,"Udit Narayan, Sunidhi Chauhan, Stefen",Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Kunnidu Kunnidu Baare.mp3
11,Sanchariyagu Nee - PagalWorld.NL,"Vijay Prakash, Rakshita Suresh, Nakul Abhyankar",Kannada,Love Mocktail 2 (2021) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Sanchariyagu Nee.mp3
12,Sahapaati - 777 Charlie - PagalWorld.NL,Aarna Shetty,Kannada,777 Charlie (2022) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Sahapaati - 777-Charlie.mp3
13,Ninadene Januma - PagalWorld.NL,Nakul Abhyankar,Kannada,Love Mocktail 2 (2021) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Ninadene Januma.mp3
14,Anisuthide - PagalWorld.NL,Sonu Nigam,Kannada,Mungaru Male (2006) | PagalWorld.NL,PagalWorld.NL,,/home/dileep/ML_Project/recommendation_system/songs/Anisuthide.mp3
